pid	graphType	setIndex	obsIndex	edgeAB.true	edgeAC.true	edgeBC.true	activations.A	activations.B	activations.C	explanation.node1	explanation.node2	explanation.nodes_active	explanation.cause	edgeAB.response	edgeAC.response	edgeBC.response	responseTime
7	separate	3	1	none	none	none	True	False	True	A	C	True	False	none	none	none	4406
7	separate	3	2	none	none	none	True	True	False	A	B	True	False	none	none	none	1473
7	separate	3	3	none	none	none	False	True	True	B	C	True	False	none	none	none	2121
7	separate	3	4	none	none	none	False	False	True	B	A	False	False	none	none	none	2621
7	separate	3	5	none	none	none	True	False	False	C	B	False	False	none	none	none	4603
7	separate	3	6	none	none	none	True	True	False	B	A	True	False	none	none	none	1852
7	separate	3	7	none	none	none	True	False	False	B	C	False	False	none	none	none	2785
7	separate	3	8	none	none	none	False	False	False	B	A	False	False	none	none	none	1615
7	separate	3	9	none	none	none	False	True	True	B	C	True	False	none	none	none	1434
7	pair	4	0	forward	none	none	True	True	False	B	A	True	False	none	none	none	6054
7	pair	4	1	forward	none	none	False	False	False	B	C	False	False	none	none	none	16628
7	pair	4	2	forward	none	none	True	True	False	A	B	True	True	forward	none	none	9025
7	pair	4	3	forward	none	none	True	True	True	C	A	True	False	forward	none	none	2303
7	pair	4	4	forward	none	none	True	False	False	B	C	False	False	forward	none	none	2438
7	pair	4	5	forward	none	none	False	False	False	B	A	False	False	forward	none	none	2952
7	pair	4	6	forward	none	none	True	True	False	B	A	True	False	forward	none	none	2253
7	pair	4	7	forward	none	none	True	True	True	B	C	True	False	forward	none	none	2017
7	pair	4	8	forward	none	none	False	False	True	A	B	False	True	forward	none	none	3450
7	pair	4	9	forward	none	none	False	False	True	B	A	False	False	forward	none	none	2117
7	skip	5	0	backward	backward	forward	True	True	True	C	B	True	False	none	none	none	4352
7	skip	5	1	backward	backward	forward	True	False	True	A	C	True	False	none	none	none	1974
7	skip	5	2	backward	backward	forward	False	False	False	C	A	False	True	none	backward	none	6523
7	skip	5	3	backward	backward	forward	False	True	False	A	C	False	False	none	backward	none	3856
7	skip	5	4	backward	backward	forward	True	True	True	A	C	True	False	none	backward	none	2237
7	skip	5	5	backward	backward	forward	True	True	True	B	C	True	True	none	backward	forward	8182
7	skip	5	6	backward	backward	forward	False	False	False	B	A	False	True	backward	backward	forward	33327
7	skip	5	7	backward	backward	forward	True	True	True	A	C	True	False	backward	backward	forward	2101
7	skip	5	8	backward	backward	forward	True	True	True	A	B	True	False	backward	backward	forward	1917
7	skip	5	9	backward	backward	forward	True	True	True	C	A	True	True	backward	backward	forward	6835
8	separate	0	0	none	none	none	True	True	True	C	B	True	False	none	none	none	13072
8	separate	0	1	none	none	none	True	False	True	C	A	True	False	none	none	none	11062
8	separate	0	2	none	none	none	True	False	True	C	A	True	False	none	none	none	9526
