condition	seed	graphType	obsIndex	edge	response_sample	response_max	p_none	p_forward	p_backward
both	7	pair	1000	BC	backward	backward	0.0	0.0	1.0
both	7	separate	1000	AB	none	none	1.0	0.0	0.0
both	7	separate	1000	AC	none	none	1.0	0.0	0.0
both	7	separate	1000	BC	none	none	1.0	0.0	0.0
both	7	skip	1000	AB	forward	forward	0.0	1.0	0.0
both	7	skip	1000	AC	forward	forward	0.0	1.0	0.0
both	7	skip	1000	BC	backward	backward	0.0	0.0	1.0
activations	7	common_cause	1000	AB	backward	backward	0.0	0.1844608877	0.8155391123
activations	7	common_cause	1000	AC	none	none	1.0	0.0	0.0
activations	7	common_cause	1000	BC	backward	backward	0.0	0.4121903786	0.5878096214
activations	7	common_effect	1000	AB	none	none	1.0	0.0	0.0
activations	7	common_effect	1000	AC	forward	forward	-0.0	1.0	0.0
activations	7	common_effect	1000	BC	forward	forward	-0.0	1.0	0.0
activations	7	line	1000	AB	backward	forward	0.0	0.6625688922	0.3374311078
activations	7	line	1000	AC	forward	forward	0.0	0.5834183854	0.4165816146
activations	7	line	1000	BC	none	none	1.0	0.0	0.0
activations	7	pair	1000	AB	none	none	1.0	0.0	0.0
activations	7	pair	1000	AC	none	none	1.0	0.0	0.0
activations	7	pair	1000	BC	backward	backward	0.0	0.3961717288	0.6038282712
activations	7	separate	1000	AB	none	none	1.0	0.0	0.0
activations	7	separate	1000	AC	none	none	1.0	0.0	0.0
activations	7	separate	1000	BC	none	none	1.0	0.0	0.0
activations	7	skip	1000	AB	forward	forward	-0.0	1.0	0.0
activations	7	skip	1000	AC	forward	forward	0.0	0.6990722982	0.3009277018
activations	7	skip	1000	BC	backward	backward	0.0	0.0	1.0
explanations	7	common_cause	1000	AB	backward	backward	0.0	0.0	1.0
explanations	7	common_cause	1000	AC	none	none	1.0	0.0	0.0
explanations	7	common_cause	1000	BC	forward	forward	0.0	1.0	0.0
explanations	7	common_effect	1000	AB	none	none	1.0	0.0	0.0
explanations	7	common_effect	1000	AC	forward	forward	0.0	1.0	0.0
explanations	7	common_effect	1000	BC	forward	forward	0.0	1.0	0.0
explanations	7	line	1000	AB	backward	backward	0.0	0.0	1.0
explanations	7	line	1000	AC	forward	forward	0.0	1.0	0.0
explanations	7	line	1000	BC	none	none	1.0	0.0	0.0
explanations	7	pair	1000	AB	none	none	1.0	0.0	0.0
explanations	7	pair	1000	AC	none	none	1.0	0.0	0.0
explanations	7	pair	1000	BC	backward	backward	0.0	0.0	1.0
explanations	7	separate	1000	AB	none	none	1.0	0.0	0.0
