seed	graph_type	AB	AC	BC
24	common_effect	forward	none	backward
24	common_cause	forward	forward	none
24	line	backward	forward	none
24	pair	none	backward	none
24	skip	backward	forward	forward
24	separate	none	none	none
24	common_effect	forward	none	backward
24	common_cause	forward	forward	none
24	line	backward	forward	none
24	pair	none	backward	none
24	skip	backward	forward	forward
24	separate	none	none	none
24	common_effect	forward	none	backward
24	common_cause	forward	forward	none
24	line	backward	forward	none
24	pair	none	backward	none
24	skip	backward	forward	forward
25	separate	none	none	none
25	common_effect	forward	none	backward
25	common_cause	forward	forward	none
25	line	backward	none	backward
25	pair	forward	none	none
25	skip	backward	backward	forward
25	separate	none	none	none
25	common_effect	forward	none	backward
25	common_cause	forward	forward	none
25	line	backward	none	backward
25	pair	forward	none	none
25	skip	backward	backward	forward
25	separate	none	none	none
25	common_effect	forward	none	backward
25	common_cause	forward	forward	none
25	line	backward	none	backward
25	pair	forward	none	none
25	skip	backward	backward	forward
26	separate	none	none	none
26	common_effect	none	forward	forward
26	common_cause	backward	none	forward
26	line	none	forward	backward
26	pair	none	none	forward
26	skip	forward	backward	backward
26	separate	none	none	none
26	common_effect	none	forward	forward
26	common_cause	backward	none	forward
26	line	none	forward	backward
26	pair	none	none	forward
26	skip	forward	backward	backward
26	separate	none	none	none
26	common_effect	none	forward	forward
26	common_cause	backward	none	forward
26	line	none	forward	backward
26	pair	none	none	forward
26	skip	forward	backward	backward
27	separate	none	none	none
27	common_effect	backward	backward	none
27	common_cause	none	backward	backward
27	line	none	backward	forward
27	pair	none	none	forward
27	skip	backward	backward	backward
27	separate	none	none	none
27	common_effect	backward	backward	none
27	common_cause	none	backward	backward
27	line	none	backward	forward
27	pair	none	none	forward
27	skip	backward	backward	backward
27	separate	none	none	none
27	common_effect	backward	backward	none
27	common_cause	none	backward	backward
27	line	none	backward	forward
27	pair	none	none	forward
27	skip	backward	backward	backward
28	separate	none	none	none
28	common_effect	forward	none	backward
28	common_cause	none	backward	backward
28	line	none	backward	forward
28	pair	none	none	backward
28	skip	backward	forward	forward
28	separate	none	none	none
28	common_effect	forward	none	backward
28	common_cause	none	backward	backward
28	line	none	backward	forward
28	pair	none	none	backward
28	skip	backward	forward	forward
28	separate	none	none	none
28	common_effect	forward	none	backward
28	common_cause	none	backward	backward
28	line	none	backward	forward
28	pair	none	none	backward
28	skip	backward	forward	forward
29	separate	none	none	none
29	common_effect	none	forward	forward
29	common_cause	forward	forward	none
29	line	none	forward	backward
29	pair	none	forward	none
29	skip	backward	backward	forward
29	separate	none	none	none
29	common_effect	none	forward	forward
29	common_cause	forward	forward	none
29	line	none	forward	backward
29	pair	none	forward	none
29	skip	backward	backward	forward
29	separate	none	none	none
29	common_effect	none	forward	forward
29	common_cause	forward	forward	none
29	line	none	forward	backward
29	pair	none	forward	none
29	skip	backward	backward	forward
30	separate	none	none	none
30	common_effect	backward	backward	none
30	common_cause	forward	forward	none
30	line	backward	forward	none
30	pair	none	backward	none
30	skip	forward	backward	backward
30	separate	none	none	none
30	common_effect	backward	backward	none
30	common_cause	forward	forward	none
30	line	backward	forward	none
30	pair	none	backward	none
30	skip	forward	backward	backward
30	separate	none	none	none
30	common_effect	backward	backward	none
30	common_cause	forward	forward	none
30	line	backward	forward	none
30	pair	none	backward	none
30	skip	forward	backward	backward
31	separate	none	none	none
31	common_effect	forward	none	backward
31	common_cause	none	backward	backward
31	line	forward	backward	none
31	pair	forward	none	none
31	skip	forward	forward	backward
31	separate	none	none	none
31	common_effect	forward	none	backward
31	common_cause	none	backward	backward
31	line	forward	backward	none
31	pair	forward	none	none
31	skip	forward	forward	backward
31	separate	none	none	none
31	common_effect	forward	none	backward
31	common_cause	none	backward	backward
31	line	forward	backward	none
31	pair	forward	none	none
31	skip	forward	forward	backward
32	separate	none	none	none
32	common_effect	none	forward	forward
32	common_cause	forward	forward	none
32	line	backward	none	backward
32	pair	none	forward	none
32	skip	forward	backward	backward
32	separate	none	none	none
32	common_effect	none	forward	forward
32	common_cause	forward	forward	none
32	line	backward	none	backward
32	pair	none	forward	none
32	skip	forward	backward	backward
32	separate	none	none	none
32	common_effect	none	forward	forward
32	common_cause	forward	forward	none
32	line	backward	none	backward
32	pair	none	forward	none
32	skip	forward	backward	backward
33	separate	none	none	none
33	common_effect	none	forward	forward
33	common_cause	backward	none	forward
33	line	forward	backward	none
33	pair	none	forward	none
33	skip	backward	forward	forward
33	separate	none	none	none
33	common_effect	none	forward	forward
33	common_cause	backward	none	forward
33	line	forward	backward	none
33	pair	none	forward	none
33	skip	backward	forward	forward
33	separate	none	none	none
33	common_effect	none	forward	forward
33	common_cause	backward	none	forward
33	line	forward	backward	none
33	pair	none	forward	none
33	skip	backward	forward	forward
34	separate	none	none	none
34	common_effect	backward	backward	none
34	common_cause	forward	forward	none
34	line	forward	none	forward
34	pair	none	none	backward
34	skip	forward	forward	forward
34	separate	none	none	none
34	common_effect	backward	backward	none
34	common_cause	forward	forward	none
34	line	forward	none	forward
34	pair	none	none	backward
34	skip	forward	forward	forward
34	separate	none	none	none
34	common_effect	backward	backward	none
34	common_cause	forward	forward	none
34	line	forward	none	forward
34	pair	none	none	backward
34	skip	forward	forward	forward
35	separate	none	none	none
35	common_effect	backward	backward	none
35	common_cause	backward	none	forward
35	line	backward	forward	none
35	pair	none	backward	none
35	skip	backward	backward	backward
35	separate	none	none	none
35	common_effect	backward	backward	none
35	common_cause	backward	none	forward
35	line	backward	forward	none
35	pair	none	backward	none
35	skip	backward	backward	backward
35	separate	none	none	none
35	common_effect	backward	backward	none
35	common_cause	backward	none	forward
35	line	backward	forward	none
35	pair	none	backward	none
35	skip	backward	backward	backward
36	separate	none	none	none
36	common_effect	forward	none	backward
36	common_cause	forward	forward	none
36	line	forward	backward	none
36	pair	none	backward	none
36	skip	forward	backward	backward
36	separate	none	none	none
36	common_effect	forward	none	backward
36	common_cause	forward	forward	none
36	line	forward	backward	none
36	pair	none	backward	none
36	skip	forward	backward	backward
36	separate	none	none	none
36	common_effect	forward	none	backward
36	common_cause	forward	forward	none
36	line	forward	backward	none
36	pair	none	backward	none
36	skip	forward	backward	backward
37	separate	none	none	none
37	common_effect	backward	backward	none
37	common_cause	none	backward	backward
37	line	none	forward	backward
37	pair	none	forward	none
37	skip	backward	backward	forward
37	separate	none	none	none
37	common_effect	backward	backward	none
37	common_cause	none	backward	backward
37	line	none	forward	backward
37	pair	none	forward	none
37	skip	backward	backward	forward
37	separate	none	none	none
37	common_effect	backward	backward	none
37	common_cause	none	backward	backward
37	line	none	forward	backward
37	pair	none	forward	none
37	skip	backward	backward	forward
38	separate	none	none	none
38	common_effect	backward	backward	none
38	common_cause	backward	none	forward
38	line	none	backward	forward
38	pair	none	none	forward
38	skip	forward	backward	backward
38	separate	none	none	none
38	common_effect	backward	backward	none
38	common_cause	backward	none	forward
38	line	none	backward	forward
38	pair	none	none	forward
38	skip	forward	backward	backward
38	separate	none	none	none
38	common_effect	backward	backward	none
38	common_cause	backward	none	forward
38	line	none	backward	forward
38	pair	none	none	forward
38	skip	forward	backward	backward
39	separate	none	none	none
39	common_effect	none	forward	forward
39	common_cause	backward	none	forward
39	line	none	backward	forward
39	pair	none	forward	none
39	skip	backward	forward	forward
39	separate	none	none	none
39	common_effect	none	forward	forward
39	common_cause	backward	none	forward
39	line	none	backward	forward
39	pair	none	forward	none
39	skip	backward	forward	forward
39	separate	none	none	none
39	common_effect	none	forward	forward
39	common_cause	backward	none	forward
39	line	none	backward	forward
39	pair	none	forward	none
39	skip	backward	forward	forward
40	separate	none	none	none
40	common_effect	forward	none	backward
40	common_cause	none	backward	backward
40	line	forward	none	forward
40	pair	backward	none	none
40	skip	forward	backward	backward
40	separate	none	none	none
40	common_effect	forward	none	backward
40	common_cause	none	backward	backward
40	line	forward	none	forward
40	pair	backward	none	none
40	skip	forward	backward	backward
40	separate	none	none	none
40	common_effect	forward	none	backward
40	common_cause	none	backward	backward
40	line	forward	none	forward
40	pair	backward	none	none
40	skip	forward	backward	backward
41	separate	none	none	none
41	common_effect	forward	none	backward
41	common_cause	none	backward	backward
41	line	backward	forward	none
41	pair	backward	none	none
41	skip	backward	forward	forward
41	separate	none	none	none
41	common_effect	forward	none	backward
41	common_cause	none	backward	backward
41	line	backward	forward	none
41	pair	backward	none	none
41	skip	backward	forward	forward
41	separate	none	none	none
41	common_effect	forward	none	backward
41	common_cause	none	backward	backward
41	line	backward	forward	none
41	pair	backward	none	none
41	skip	backward	forward	forward
42	separate	none	none	none
42	common_effect	backward	backward	none
42	common_cause	none	backward	backward
42	line	none	forward	backward
42	pair	none	backward	none
42	skip	forward	backward	backward
42	separate	none	none	none
42	common_effect	backward	backward	none
42	common_cause	none	backward	backward
42	line	none	forward	backward
42	pair	none	backward	none
42	skip	forward	backward	backward
42	separate	none	none	none
42	common_effect	backward	backward	none
42	common_cause	none	backward	backward
42	line	none	forward	backward
42	pair	none	backward	none
42	skip	forward	backward	backward
43	separate	none	none	none
43	common_effect	forward	none	backward
43	common_cause	backward	none	forward
43	line	forward	backward	none
43	pair	forward	none	none
43	skip	forward	forward	backward
43	separate	none	none	none
43	common_effect	forward	none	backward
43	common_cause	backward	none	forward
43	line	forward	backward	none
43	pair	forward	none	none
43	skip	forward	forward	backward
43	separate	none	none	none
43	common_effect	forward	none	backward
43	common_cause	backward	none	forward
43	line	forward	backward	none
43	pair	forward	none	none
43	skip	forward	forward	backward
44	separate	none	none	none
44	common_effect	none	forward	forward
44	common_cause	forward	forward	none
44	line	backward	forward	none
44	pair	none	none	forward
44	skip	forward	forward	backward
44	separate	none	none	none
44	common_effect	none	forward	forward
44	common_cause	forward	forward	none
44	line	backward	forward	none
44	pair	none	none	forward
44	skip	forward	forward	backward
44	separate	none	none	none
44	common_effect	none	forward	forward
44	common_cause	forward	forward	none
44	line	backward	forward	none
44	pair	none	none	forward
44	skip	forward	forward	backward
45	separate	none	none	none
45	common_effect	none	forward	forward
45	common_cause	backward	none	forward
45	line	backward	forward	none
45	pair	none	forward	none
45	skip	forward	forward	backward
45	separate	none	none	none
45	common_effect	none	forward	forward
45	common_cause	backward	none	forward
45	line	backward	forward	none
45	pair	none	forward	none
45	skip	forward	forward	backward
45	separate	none	none	none
45	common_effect	none	forward	forward
45	common_cause	backward	none	forward
45	line	backward	forward	none
45	pair	none	forward	none
45	skip	forward	forward	backward
46	separate	none	none	none
46	common_effect	forward	none	backward
46	common_cause	none	backward	backward
46	line	none	backward	forward
46	pair	forward	none	none
46	skip	forward	forward	backward
46	separate	none	none	none
46	common_effect	forward	none	backward
46	common_cause	none	backward	backward
46	line	none	backward	forward
46	pair	forward	none	none
46	skip	forward	forward	backward
46	separate	none	none	none
46	common_effect	forward	none	backward
46	common_cause	none	backward	backward
46	line	none	backward	forward
46	pair	forward	none	none
46	skip	forward	forward	backward
47	separate	none	none	none
47	common_effect	backward	backward	none
47	common_cause	none	backward	backward
47	line	none	forward	backward
47	pair	backward	none	none
47	skip	forward	backward	backward
47	separate	none	none	none
47	common_effect	backward	backward	none
47	common_cause	none	backward	backward
47	line	none	forward	backward
47	pair	backward	none	none
47	skip	forward	backward	backward
47	separate	none	none	none
47	common_effect	backward	backward	none
47	common_cause	none	backward	backward
47	line	none	forward	backward
47	pair	backward	none	none
47	skip	forward	backward	backward
48	separate	none	none	none
48	common_effect	backward	backward	none
48	common_cause	backward	none	forward
48	line	forward	backward	none
48	pair	none	forward	none
48	skip	backward	forward	forward
48	separate	none	none	none
48	common_effect	backward	backward	none
48	common_cause	backward	none	forward
48	line	forward	backward	none
48	pair	none	forward	none
48	skip	backward	forward	forward
48	separate	none	none	none
48	common_effect	backward	backward	none
48	common_cause	backward	none	forward
48	line	forward	backward	none
48	pair	none	forward	none
48	skip	backward	forward	forward
49	separate	none	none	none
49	common_effect	backward	backward	none
49	common_cause	backward	none	forward
49	line	backward	none	backward
49	pair	none	forward	none
49	skip	forward	forward	forward
49	separate	none	none	none
49	common_effect	backward	backward	none
49	common_cause	backward	none	forward
49	line	backward	none	backward
49	pair	none	forward	none
49	skip	forward	forward	forward
49	separate	none	none	none
49	common_effect	backward	backward	none
49	common_cause	backward	none	forward
49	line	backward	none	backward
49	pair	none	forward	none
49	skip	forward	forward	forward
50	separate	none	none	none
50	common_effect	none	forward	forward
50	common_cause	none	backward	backward
50	line	backward	forward	none
50	pair	none	none	backward
50	skip	backward	forward	forward
50	separate	none	none	none
50	common_effect	none	forward	forward
50	common_cause	none	backward	backward
50	line	backward	forward	none
50	pair	none	none	backward
50	skip	backward	forward	forward
50	separate	none	none	none
50	common_effect	none	forward	forward
50	common_cause	none	backward	backward
50	line	backward	forward	none
50	pair	none	none	backward
50	skip	backward	forward	forward
51	separate	none	none	none
51	common_effect	forward	none	backward
51	common_cause	none	backward	backward
51	line	backward	none	backward
51	pair	none	none	forward
51	skip	forward	backward	backward
51	separate	none	none	none
51	common_effect	forward	none	backward
51	common_cause	none	backward	backward
51	line	backward	none	backward
51	pair	none	none	forward
51	skip	forward	backward	backward
51	separate	none	none	none
51	common_effect	forward	none	backward
51	common_cause	none	backward	backward
51	line	backward	none	backward
51	pair	none	none	forward
51	skip	forward	backward	backward
52	separate	none	none	none
52	common_effect	none	forward	forward
52	common_cause	backward	none	forward
52	line	none	backward	forward
52	pair	none	forward	none
52	skip	forward	backward	backward
52	separate	none	none	none
52	common_effect	none	forward	forward
52	common_cause	backward	none	forward
52	line	none	backward	forward
52	pair	none	forward	none
52	skip	forward	backward	backward
52	separate	none	none	none
52	common_effect	none	forward	forward
52	common_cause	backward	none	forward
52	line	none	backward	forward
52	pair	none	forward	none
52	skip	forward	backward	backward
53	separate	none	none	none
53	common_effect	none	forward	forward
53	common_cause	forward	forward	none
53	line	backward	forward	none
53	pair	backward	none	none
53	skip	backward	forward	forward
53	separate	none	none	none
53	common_effect	none	forward	forward
53	common_cause	forward	forward	none
53	line	backward	forward	none
53	pair	backward	none	none
53	skip	backward	forward	forward
53	separate	none	none	none
53	common_effect	none	forward	forward
53	common_cause	forward	forward	none
53	line	backward	forward	none
53	pair	backward	none	none
53	skip	backward	forward	forward
54	separate	none	none	none
54	common_effect	backward	backward	none
54	common_cause	forward	forward	none
54	line	none	backward	forward
54	pair	none	forward	none
54	skip	forward	forward	backward
54	separate	none	none	none
54	common_effect	backward	backward	none
54	common_cause	forward	forward	none
54	line	none	backward	forward
54	pair	none	forward	none
54	skip	forward	forward	backward
54	separate	none	none	none
54	common_effect	backward	backward	none
54	common_cause	forward	forward	none
54	line	none	backward	forward
54	pair	none	forward	none
54	skip	forward	forward	backward
55	separate	none	none	none
55	common_effect	none	forward	forward
55	common_cause	none	backward	backward
55	line	backward	forward	none
55	pair	none	none	backward
55	skip	backward	backward	forward
55	separate	none	none	none
55	common_effect	none	forward	forward
55	common_cause	none	backward	backward
55	line	backward	forward	none
55	pair	none	none	backward
55	skip	backward	backward	forward
55	separate	none	none	none
55	common_effect	none	forward	forward
55	common_cause	none	backward	backward
55	line	backward	forward	none
55	pair	none	none	backward
55	skip	backward	backward	forward
56	separate	none	none	none
56	common_effect	forward	none	backward
56	common_cause	none	backward	backward
56	line	forward	backward	none
56	pair	forward	none	none
56	skip	backward	backward	backward
56	separate	none	none	none
56	common_effect	forward	none	backward
56	common_cause	none	backward	backward
56	line	forward	backward	none
56	pair	forward	none	none
56	skip	backward	backward	backward
56	separate	none	none	none
56	common_effect	forward	none	backward
56	common_cause	none	backward	backward
56	line	forward	backward	none
56	pair	forward	none	none
56	skip	backward	backward	backward
57	separate	none	none	none
57	common_effect	backward	backward	none
57	common_cause	none	backward	backward
57	line	backward	forward	none
57	pair	none	backward	none
57	skip	backward	backward	backward
57	separate	none	none	none
57	common_effect	backward	backward	none
57	common_cause	none	backward	backward
57	line	backward	forward	none
57	pair	none	backward	none
57	skip	backward	backward	backward
57	separate	none	none	none
57	common_effect	backward	backward	none
57	common_cause	none	backward	backward
57	line	backward	forward	none
57	pair	none	backward	none
57	skip	backward	backward	backward
58	separate	none	none	none
58	common_effect	forward	none	backward
58	common_cause	forward	forward	none
58	line	none	forward	backward
58	pair	none	none	backward
58	skip	backward	backward	backward
58	separate	none	none	none
58	common_effect	forward	none	backward
58	common_cause	forward	forward	none
58	line	none	forward	backward
58	pair	none	none	backward
58	skip	backward	backward	backward
58	separate	none	none	none
58	common_effect	forward	none	backward
